OP,Tiros Generales,Producto,Fecha de despacho
1032,10000,SOBRETIRAJE BOLETAS - BERAZATEGUI,11/08/2017
1033,85500,LA VALIJITA 167,14/08/2017
1034,119600,MUY INTERESANTE ESPECIAL DA VINCI,14/09/2017
1036,343850,GENTE 2718,17/08/2017
1037,393875,PAPARAZZI 824,17/08/2017
1038,185000,FOLLETOS PEROZZI,18/08/2017
1039,270000,FOLLETOS ALOISE,18/09/2017
1040,300000,FOLLETOS FAVA,24/08/2017
1041,210000,FOLLETOS CASA SILVIA,22/08/2017
1042,10000,DIARIO DE IZQUIERDA 658,23/08/2017
1043,194315,MUY INTERESANTE 383,23/08/2017
1044,341250,GENTE 2719,24/08/2017
1045,391000,PAPARAZZI 625,24/08/2017
1046,265360,COSMOPOLITAN 253,25/08/2017
1047,627000,PARA TI COLECCIONES 4964,28/09/2017
1048,160000,FOLLETOS AUTHOGAR,29/08/2017
1049,108800,VANIDADES 57-09,29/08/2017
1050,391000,PAPARAZZI 826,5/09/2017
1051,302250,GENTE 2720,31/08/2017
1052,15000,FOLLETOS FERIA PURO DISEÑO,5/09/2017
1053,114000,TEJIDOS EXPRESS DOS AGUJAS,6/09/2017
1054,60000,DIARIO ATE,6/09/2017
1057,380250,GENTE 2721,7/09/2017
1058,391000,PAPARAZZI 827,11/09/2017
1059,150000,DECOPLUS 16,7/09/2017
1060,44000,LA VALIJITA ESPECIAL 88,7/09/2017
1061,50000,VOLANTES PTS A4,8/09/2017
1062,78750,LA VALIJITA 168,11/09/2017
1063,54250,EL AJUAR DEL BEBE 36,11/09/2017
1064,2000,REIMPRESION - VANIDADES N57-09,12/09/2017
1065,282750,GENTE 2722,14/09/2017
1066,388125,PAPARAZZI 828,14/09/2017
1067,50000,VOLANTES PTS A4,19/09/2017
1068,210000,FOLLETOS CASA SILVIA,21/09/2017
1069,225000,FOLLETOS AUTHOGAR,25/09/2017
1070,375000,FOLLETOS FAVA,21/09/2017
1071,360000,FOLLETOS ALOISE,27/09/2017
1072,277500,FOLLETOS PEROZZI,4/10/2017
1073,31250,VOLANTES PTS GRAL OCTUBRE,20/09/2017
1074,25000,VOLANTES PTS CORDOBA,21/09/2017
1075,388125,PAPARAZZI 829,21/09/2017
1076,341250,GENTE 2723,21/09/2017
1077,194315,MUY INTERESANTE 384,22/09/2017
1078,100000,FOLLETO TRIPTICO,26/09/2017
1079,25000,VOLANTES PCIA DE BUENOS AIRES,26/09/2017
1080,249360,COSMOPOLITAN N 254,28/09/2017
1081,109600,VANIDADES N 57-10,26/09/2017
1082,¿83333.33333?,BOLETAS - MISIONES,26/09/2017
1083,425200,BOLETAS - FIT - MENDONZA ZONA 1,27/09/2017
1084,106800,BOLETAS - FIT - MENDONZA ZONA 2,27/09/2017
1085,94800,BOLETAS - FIT - MENDONZA ZONA 3,27/09/2017
1086,224400,BOLETAS - FIT - MENDOZA ZONA 4,27/09/2017
1087,69000,BOLETAS - FIT - MENDOZA 3 CUERPOS ZONA 5,27/09/2017
1088,12500,VOLANTE PTS,28/09/2017
1090,14000,DIARIO DE IZQUIERDA 659,28/09/2017
1091,388125,PAPARAZZI 830,28/09/2017
1092,200000,BOLETAS - UNIDAD CIUDADANA,29/09/2017
1093,970800,BOLETAS - FIT - PRIMERA SECCION ZONA 1,29/09/2017
1094,631400,BOLETAS - FIT- PRIMERA SECCION ZONA 2,29/09/2017
1095,338400,BOLETAS - FIT- PRIMERA SECCION ZONA 3,29/09/2017
1096,109600,BOLETAS - FIT - PRIMERA SECCION ZONA 4,29/09/2017
1097,128720,BOLETAS - FIT - PRIMERA SECCION ZONA 5,29/09/2017
1098,105000,BOLETAS - FIT - PRIMERA SECCION ZONA 6,29/09/2017
1099,312300,BOLETAS - FIT - PRIMERA SECCION ZONA 7,29/09/2017
1100,2800,BOLETAS - FIT PRIMERA SECCION ZONA 8,29/09/2017
1101,9400,BOLETAS - FIT - PRIMERA SECCION 3 CUERPOS ZONA 9,5/10/2017
1102,200000,BOLETAS - BERAZATEGUI,4/10/2017
1103,31800,BOLETAS - FIT - TERCERA SECCION ZONA 1,2/10/2017
1104,51800,BOLETAS - FIT - TERCERA SECCION ZONA 2,2/10/2017
1105,110400,BOLETAS - FIT - TERCERA SECCION ZONA 3,20/10/2017
1106,59000,BOLETAS - FIT TERCERA SECCION ZONA 4,2/10/2017
1107,287800,BOLETAS - FIT - TERCERA SECCION ZONA 5 FINAL,2/10/2017
1108,198400,BOLETAS - FIT - TERCERA SECCION ZONA 6 FINAL,4/10/2017
1109,176400,BOLETAS - FIT - TERCERA SECCION ZONA 7,2/10/2017
1110,450000,BOLETAS - MISIONES 1,2/10/2017
1111,40000,BOLETAS - MISIONES 2,2/10/2017
1112,,BOLETAS - MISIONES 3,2/10/2017
1113,36000,BOLETAS - MISIONES 4,1/10/2017
1114,2700,CORTE DE PAPEL,2/10/2017
1115,254000,BOLETAS FIT TERCERA SECCION ZONA 8 FINAL,4/10/2017
1116,120000,BOLETAS FIT TERCERA SECCION ZONA 5 6 8 PARCIAL,4/10/2017
1117,25000,BOLETAS - FIT - TERCERA SECCION ZONA 9,3/10/2017
1118,210000,TEJIDOS CROCHET 25,11/10/2017
1119,25000,FOLLETO DIPTICO MEGATONE,3/10/2017
1120,30000,DIARIO MUNICIPIO DE BELLA VISTA TUCUMAN,3/10/2017
1121,100000,DIARIO NOTI ESCOBAR,4/10/2017
1122,13500,FOLLETO DIPTICO MEGATONE,5/10/2017
1123,419250,GENTE 2725,5/10/2017
1124,40000,LA VALIJITA ESPECIAL 89,6/10/2017
1125,388125,PAPARAZZI 831,6/10/2017
1126,2500,SUPLEMENTO,6/10/2017
1127,117030,MUY INTERESANTE ESPECIAL PYR,17/10/2017
1128,78750,LA VALIJITA 169,10/10/2017
1129,93600,BOLETAS - BERAZATEGUI,10/10/2017
1130,60000,DIARIO ATE,10/10/2017
1132,50000,BOLETAS COMBINADAS,12/10/2017
1133,302250,GENTE 2726,12/10/2017
1134,385250,PAPARAZZI 832,12/10/2017
1135,50000,BOLETAS COMBINADAS 2,18/10/2017
1136,300000,FOLLETOS FAVA,18/10/2017
1137,210000,FOLLETOS CASA SILVIA,19/10/2017
1138,317200,GENTE 2727,19/10/2017
1139,146250,PARA TI 4971,23/10/2017
1140,60000,GUIA DE PUNTOS DOS AGUJAS 19,27/10/2017
1141,385250,PAPARAZZI 833,19/10/2017
1142,210000,FOLLETOS SAMPIETRO,23/10/2017
1143,160000,FOLLETOS AUTHOGAR,20/10/2017
1144,194425,MUY INTERESANTE 385,23/10/2017
1147,60000,FOLLETOS PAMPA,24/10/2017
1148,190000,FOLLETOS PEROZZI,25/10/2017
1149,270000,FOLLETOS ALOISE,27/10/2017
1150,341250,GENTE 2728,26/10/2017
1151,385250,PAPARAZZI 834,26/10/2017
